City,State,Speed,Company,Cord,Code,Longitude,Latitude
Catende,PE,83.86,VIVO,"[-35.7165, -8.6715]",2604205,-35.7165,-8.6715
Catiguá,SP,92.56,TIM,"[-49.0635, -21.0555]",3511201,-49.0635,-21.0555
Catolândia,BA,33.85,VIVO,"[-44.8605, -12.3165]",2907400,-44.8605,-12.3165
Catolé do Rocha,PB,23.24,TIM,"[-37.7415, -6.3315]",2504306,-37.7415,-6.3315
Catu,BA,91.18,CLARO,"[-38.3805, -12.3795]",2907509,-38.3805,-12.3795
Catuji,MG,41.83,VIVO,"[-41.5125, -17.3025]",3115458,-41.5125,-17.3025
Catunda,CE,18.28,CLARO,"[-40.1985, -4.6575]",2303659,-40.1985,-4.6575
Caturaí,GO,24.2,CLARO,"[-49.4865, -16.4475]",5205208,-49.4865,-16.4475
Catuti,MG,40.51,VIVO,"[-42.9615, -15.3585]",3115474,-42.9615,-15.3585
Catuípe,RS,58.95,CLARO,"[-54.0045, -28.2555]",4305009,-54.0045,-28.2555
Caucaia,CE,120.69,CLARO,"[-38.6595, -3.7305]",2303709,-38.6595,-3.7305
Cavalcante,GO,0.54,VIVO,"[-47.4435, -13.7925]",5205307,-47.4435,-13.7925
Caxambu,MG,42.18,CLARO,"[-44.9415, -21.9915]",3115508,-44.9415,-21.9915
Caxambu do Sul,SC,24.41,TIM,"[-52.9245, -27.0855]",4204103,-52.9245,-27.0855
Caxias,MA,49.62,TIM,"[-43.3755, -4.8825]",2103000,-43.3755,-4.8825
Caxias do Sul,RS,265.125,CLARO,"[-51.1605, -29.1555]",4305108,-51.1605,-29.1555
Caxingó,PI,20.61,VIVO,"[-41.8905, -3.4245]",2202653,-41.8905,-3.4245
Caçador,SC,51.77,VIVO,"[-51.0075, -26.7975]",4203006,-51.0075,-26.7975
Caçapava,SP,58.09,TIM,"[-45.7245, -23.1255]",3508504,-45.7245,-23.1255
Caçapava do Sul,RS,57.26,CLARO,"[-53.4915, -30.5235]",4302808,-53.4915,-30.5235
Caçu,GO,38.49,VIVO,"[-51.1515, -18.5715]",5204300,-51.1515,-18.5715
Caém,BA,41.23,CLARO,"[-40.4325, -11.0925]",2905107,-40.4325,-11.0925
